Week End,Crude Volumes For The Week
02/25/1997,72.57
02/25/1997,114.12
02/25/1997,80.26
03/04/1997,67.08
03/04/1997,112.29
03/04/1997,76.66
03/11/1997,68.12
03/11/1997,109.18
03/11/1997,77.6
03/18/1997,68.35
03/18/1997,111.18
03/18/1997,78.68
03/25/1997,61.88
03/25/1997,114.22
03/25/1997,80.27
04/01/1997,70.8
04/01/1997,115.81
04/01/1997,80.32
04/08/1997,72.21
04/08/1997,105.4
04/08/1997,76.43
04/15/1997,65.31
04/15/1997,104.38
04/15/1997,70.78
04/22/1997,66.66
04/22/1997,103.95
04/22/1997,56.5
04/29/1997,74.89
04/29/1997,86.23
04/29/1997,61.09
05/06/1997,73.13
05/06/1997,92.76
05/06/1997,66.54
05/13/1997,72.96
05/13/1997,96.55
05/13/1997,66.42
05/20/1997,74.77
05/20/1997,111.65
05/20/1997,74.43
05/27/1997,78.23
05/27/1997,111.63
05/27/1997,77.1
06/03/1997,76.07
06/03/1997,110.41
06/03/1997,72.99
06/10/1997,75.51
06/10/1997,99.63
06/10/1997,73.2
06/17/1997,77.1
06/17/1997,90.38
06/17/1997,76.21
06/24/1997,75.5
06/24/1997,93.16
06/24/1997,79.69
07/01/1997,78.28
07/01/1997,104.62
07/01/1997,81.81
07/08/1997,80.23
07/08/1997,110.49
07/08/1997,83.02
07/15/1997,79.37
07/15/1997,110.89
07/15/1997,81.06
07/22/1997,79.3
07/22/1997,111.58
07/22/1997,75.25
07/29/1997,78.53
07/29/1997,113.74
07/29/1997,76.44
08/05/1997,79.47
08/05/1997,113.77
08/05/1997,76.18
08/12/1997,81.18
08/12/1997,113.66
08/12/1997,82.89
08/19/1997,82.24
08/19/1997,113.93
08/19/1997,82.66
08/26/1997,76.69
08/26/1997,114.29
08/26/1997,83.09
09/02/1997,72.02
09/02/1997,116.53
09/02/1997,82.97
09/09/1997,68.58
09/09/1997,112.81
09/09/1997,82.66
09/16/1997,66.85
09/16/1997,105.96
09/16/1997,81.85
09/23/1997,73.03
09/23/1997,94.18
09/23/1997,82.84
09/30/1997,68.9
09/30/1997,107.19
09/30/1997,82.33
10/07/1997,65.0
10/07/1997,113.63
10/07/1997,83.07
10/14/1997,78.77
10/14/1997,115.5
10/14/1997,83.26
10/21/1997,78.53
10/21/1997,115.67
10/21/1997,81.44
10/28/1997,80.3
10/28/1997,117.0
10/28/1997,80.8
11/04/1997,80.69
11/04/1997,112.91
11/04/1997,75.57
11/11/1997,79.28
11/11/1997,114.36
11/11/1997,76.49
11/18/1997,80.17
11/18/1997,110.75
11/18/1997,78.93
11/25/1997,73.73
11/25/1997,108.24
11/25/1997,77.98
12/02/1997,77.63
12/02/1997,112.61
12/02/1997,78.69
12/09/1997,76.63
12/09/1997,113.52
12/09/1997,80.57
12/16/1997,79.06
12/16/1997,110.4
12/16/1997,79.17
12/23/1997,75.02
12/23/1997,113.76
12/23/1997,79.89
12/30/1997,74.81
12/30/1997,116.09
12/30/1997,79.81
01/06/1998,78.83
01/06/1998,117.39
01/06/1998,81.23
01/13/1998,78.37
01/13/1998,110.94
01/13/1998,81.85
01/20/1998,79.82
01/20/1998,112.74
01/20/1998,73.95
01/27/1998,80.33
01/27/1998,115.25
01/27/1998,78.81
